resultado,capitulo,tipo,figura_asociada,codigo_generador_existe,archivo,observacion
3-Agent Dual Network: Welfare Distribution,chapter04,tabla,,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,"Álgebra dual (H=2gS+lambda_B*I, tau, CPO, caso restringido) derivada y verificada simbólicamente; no existe implementación numérica que genere los valores"
4-Agent Dual Network: Symmetric Baseline (No Restrictions),chapter04,tabla,,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,"Álgebra dual (H=2gS+lambda_B*I, tau, CPO, caso restringido) derivada y verificada simbólicamente; no existe implementación numérica que genere los valores"
4-Agent Dual Network: Structural Solution (Restriction in T Only),chapter04,tabla,,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,"Álgebra dual (H=2gS+lambda_B*I, tau, CPO, caso restringido) derivada y verificada simbólicamente; no existe implementación numérica que genere los valores"
Alternative Network Adoption: 3-Agent vs 4-Agent Comparison,chapter04,tabla,,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,"Álgebra dual (H=2gS+lambda_B*I, tau, CPO, caso restringido) derivada y verificada simbólicamente; no existe implementación numérica que genere los valores; además requiere una regla de adopción/reparto que no está en el repo"
4-Agent Scenarios: Agent-Level Welfare Comparison,chapter04,tabla,,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,"Álgebra dual (H=2gS+lambda_B*I, tau, CPO, caso restringido) derivada y verificada simbólicamente; no existe implementación numérica que genere los valores"
Comparison of All Scenarios: Complete Results,chapter04,tabla,,parcial,code/Financial_Networks_Stability.qmd / code/.ipynb_checkpoints/Verificacion_Derivaciones.py,Los escenarios de red única se reproducen; los duales no
Agent Utility Changes: Competition vs. Structural Solution,chapter04,tabla,,parcial,code/Financial_Networks_Stability.qmd / code/.ipynb_checkpoints/Verificacion_Derivaciones.py,La columna de competencia (4F) se reproduce; la de solución estructural requiere el modelo dual
Network Volume Distribution Across Scenarios,chapter04,tabla,,parcial,code/Financial_Networks_Stability.qmd / code/.ipynb_checkpoints/Verificacion_Derivaciones.py,Volúmenes 3F y 4F reproducidos; los duales no
Agent-Level Utilities Across Scenarios,chapter04,tabla,,parcial,code/Financial_Networks_Stability.qmd / code/.ipynb_checkpoints/Verificacion_Derivaciones.py,Utilidades 3F y 4F reproducidas (definición recuperada); los duales no
Net Rent Positions: Payment Flow Structure,chapter04,tabla,,no,,«net rent» no está definida por ninguna ecuación de la tesis ni implementada en el código
Net Rent Decomposition by Network (4F-DUAL),chapter04,tabla,,no,,Requiere el modelo dual y la definición ausente de «net rent»
Payment Structure: Competitive Effect of Fintech Entry,chapter04,tabla,,parcial,code/Financial_Networks_Stability.qmd (+ parámetros cap. 4),La matriz P del escenario 4F es reproducible; los agregados de pago de esta tabla no se verificaron en esta auditoría
Sensitivity to Operational Friction ($\lambda_A$) with $\tau = 0$,chapter04,figura,friction_sensitivity.png,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,lambda_B derivado y verificado; falta el barrido numérico y el trazado
Sensitivity to Transparency Benefits ($\tau$) with $\lambda_A = 0.15$,chapter04,figura,transparency_sensitivity_lambda0.15.png,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,tau derivado y verificado; falta el barrido numérico y el trazado
"Ejemplo 5: iterados W y P en t = 0, 5, 10, inf",chapter03,ecuacion,,si,code/Financial_Networks_Stability.qmd,REPRODUCIDOS: 56/56 celdas dentro del redondeo a 2 decimales (iterados_tesis.csv)
"Pérdida de bienestar por la restricción = 50,8%",chapter01/04/05,numero,,si,code/Financial_Networks_Stability.qmd,"REPRODUCIDO exacto: (1.4338-0.7061)/1.4338 = 50,8%"
"Ganancia de bienestar por competencia = 46,5%",chapter01/04/05,numero,,si,code/Financial_Networks_Stability.qmd (+ parámetros cap. 4),"REPRODUCIDO: 46,45% sin redondear (la tesis obtiene 46,5% calculando desde sus valores ya redondeados)"
"Brecha de bienestar residual = 27,9%",chapter01/04/05,numero,,si,code/Financial_Networks_Stability.qmd (+ parámetros cap. 4),"REPRODUCIDO: 27,88% = (1.4338-1.0341)/1.4338"
Recuperación total de bienestar = 100% (red alternativa),chapter01/04/05,numero,,parcial,code/.ipynb_checkpoints/Verificacion_Derivaciones.py,"NO reproducible hoy: es el resultado central del modelo dual. Álgebra dual (H=2gS+lambda_B*I, tau, CPO, caso restringido) derivada y verificada simbólicamente; no existe implementación numérica que genere los valores"
